customerID,customername,location,email,phone,loyaltyMember,signupDate
CI00100,Adam Bryan,"Melissaborough, KY",hmartin@example.com,482-498-2518x698,False,2022-05-05
CI00101,Cheryl Peterson,"South Matthewhaven, UT",qsmith@example.org,001-292-541-6192x63895,True,2021-08-11
CI00102,Cindy Pham,"West Brianna, NC",bobmartin@example.org,(235)285-2650,False,2024-05-17
CI00103,Zachary Knapp,"Port Jenniferborough, TX",castillobryan@example.net,759.568.3518x2172,True,2022-04-27
CI00104,Dwayne Medina,"East Aaronfort, FM",marypeck@example.org,486-817-6232x055,False,2022-02-07
CI00105,Michael Holmes,"South William, MT",david73@example.net,+1-293-628-3594x288,True,2024-03-22
CI00106,Robert Herrera,"Lake Katherineberg, MN",hillscott@example.com,(747)494-4770x4703,False,2020-08-10
CI00107,Lori Peck,"North Carrieborough, VI",rhenry@example.com,845.561.9450,True,2021-12-15
CI00108,Robert Hall,"Harrisberg, DE",moodymatthew@example.com,7314729349,True,2023-01-03
CI00109,Seth Davis,"New William, MT",stricklandedward@example.net,792-976-7050x65890,False,2024-04-24
CI00110,Erik Owen,"South Annette, AR",tuckerdavid@example.net,(900)243-8177,False,2024-03-11
CI00111,Daniel Mcgee,"South Brianna, IA",nbradshaw@example.net,001-383-327-0311,True,2022-11-06
CI00112,Cindy Ramirez,"Woodmouth, TN",phart@example.com,718.508.8536x71671,False,2024-05-15
CI00113,Keith Jackson,"Bakerburgh, SC",blackjennifer@example.org,653.240.6538x4313,False,2020-09-24
CI00114,Kevin Mcfarland,"West Jason, MP",william03@example.com,(496)879-8484x8177,False,2020-12-29
CI00115,Morgan Greer,"Elizabethchester, VA",ywoods@example.net,+1-816-439-0720x5242,True,2023-03-31
CI00116,Kyle Jordan,"Johnmouth, AK",emily72@example.net,001-559-748-2770x75367,False,2024-10-09
CI00117,Wesley Perez,"Floresville, FL",amandahodges@example.net,001-616-625-1330x15493,False,2023-07-17
CI00118,Alex Martinez,"Alexandermouth, IA",cory40@example.net,(328)434-3450,False,2022-07-29
CI00119,Amanda Colon,"North Douglaschester, OR",jjohnson@example.net,582.671.5120x15255,True,2022-04-04
CI00120,Jennifer Rivera,"Thomasside, GA",patrickwallace@example.com,(728)894-4408,False,2025-04-18
CI00121,Brian Morse,"South Linda, HI",batesbrenda@example.org,(820)471-6442x88321,True,2022-12-17
CI00122,Bryan Edwards,"Grantshire, WY",jason64@example.org,496-576-7177x3905,False,2022-06-14
CI00123,Angela Shah,"East David, SD",careycurtis@example.org,001-204-818-4079x93510,True,2021-06-10
CI00124,William Jones,"South Mark, NJ",cynthiamills@example.org,(626)353-6075x17519,False,2025-01-24
CI00125,Brian Powell,"Valeriefort, SD",johnadams@example.org,(512)963-1360,False,2024-03-03
CI00126,Kristy Fisher,"Brownville, MN",xsmith@example.org,981.287.6201x227,False,2023-04-19
CI00127,Erin Cooper,"Bakermouth, NE",whitejohn@example.com,001-798-415-4857x5848,False,2023-06-22
CI00128,Jimmy Hamilton,"Dennisshire, IL",wwalker@example.org,(275)466-8105x703,True,2023-10-07
CI00129,Lori Lee,"West Erikahaven, SD",jamesharrell@example.com,463-437-0339x37207,False,2024-07-22
CI00130,Tiffany Mendez,"Anthonyburgh, DC",hamptondavid@example.net,(495)785-3616x37312,False,2021-07-16
CI00131,Becky Schneider,"West Sarah, IN",qwalton@example.com,450.558.8059x3019,False,2023-09-02
CI00132,Joan Johnson,"New Annettemouth, IL",upratt@example.net,8915839422,True,2024-07-30
CI00133,Jason Wood,"West Samantha, NV",fdaniel@example.net,001-743-661-3628x9809,True,2024-09-18
CI00134,Erik Scott,"West Matthewborough, ND",braunalbert@example.net,(822)324-6817x915,False,2025-05-27
CI00135,Jennifer Leonard,"North Peggy, GA",brian33@example.net,001-793-791-6256x410,False,2024-06-19
CI00136,Aaron Hill,"West Michaeltown, NV",gwalls@example.com,3817189164,False,2024-04-18
CI00137,Travis Butler,"Amandatown, RI",andrew36@example.net,+1-315-384-5407x20642,False,2022-08-15
CI00138,Sarah Forbes,"South Lisafurt, PR",charles11@example.net,001-813-720-3325x5130,True,2021-04-04
CI00139,Dennis Ruiz,"South David, PW",lpatrick@example.com,736.358.4966x810,False,2022-09-26
CI00140,Kayla Curtis,"Frenchview, CO",ygreen@example.com,4885856425,False,2021-12-11
CI00141,Holly Wilson,"East Robert, FL",kristin79@example.com,001-618-507-7124x938,False,2023-03-01
CI00142,Kimberly Golden,"Port Christopher, MI",hancockandrew@example.org,001-320-218-2595,False,2021-04-06
CI00143,Elizabeth Anderson,"Michellechester, PR",thomas21@example.net,(486)856-6004x9440,True,2024-04-23
CI00144,Caitlin Chaney,"Port Daniellemouth, ND",evasquez@example.org,384.796.8416,False,2025-06-08
CI00145,Kathryn Herman,"Lake Phillip, VT",scottdavid@example.com,(208)614-4369,True,2023-07-17
CI00146,Michelle Spence,"Thomashaven, WV",james88@example.org,(500)580-2464x44176,False,2022-01-22
CI00147,Joseph Peck,"West Scott, TN",uschmidt@example.org,219.498.9478,False,2024-09-07
CI00148,Kenneth Jones,"South Dannyview, MA",morrisbrian@example.org,9182662090,True,2024-05-05
CI00149,Robert Weber,"Port Jennifer, AR",sbooth@example.com,7713888943,False,2021-11-07
CI00150,Sharon Miller,"Tapiastad, NH",xkrause@example.org,832-445-0234,False,2024-10-07
